experiment,repetition,sampleIndex,raw,filtered
13,1,0,359,359
13,1,1,359,359
13,1,2,359,359
13,1,3,359,359
13,1,4,358,358
13,1,5,358,358
13,1,6,359,359
13,1,7,359,359
13,1,8,358,358
13,1,9,358,358
13,1,10,358,358
13,1,11,358,358
13,1,12,358,358
13,1,13,357,357
13,1,14,357,357
13,1,15,358,358
13,1,16,358,358
13,1,17,358,358
13,1,18,358,358
13,1,19,358,358
13,1,20,358,358
13,1,21,359,359
13,1,22,359,359
13,1,23,358,358
13,1,24,358,358
13,1,25,360,360
13,1,26,359,359
13,1,27,359,359
13,1,28,360,360
13,1,29,360,360
13,1,30,360,360
13,1,31,360,360
13,1,32,361,361
13,1,33,361,361
13,1,34,361,361
13,1,35,361,361
13,1,36,362,362
13,1,37,362,362
13,1,38,362,362
13,1,39,362,362
13,1,40,363,363
13,1,41,363,363
13,1,42,362,362
13,1,43,362,362
13,1,44,363,363
13,1,45,362,362
13,1,46,362,362
13,1,47,362,362
13,1,48,362,362
13,1,49,362,362
13,1,50,362,362
13,1,51,362,362
13,1,52,362,362
13,1,53,361,361
13,1,54,361,361
13,1,55,361,361
13,1,56,361,361
13,1,57,361,361
13,1,58,360,360
13,1,59,360,360
13,1,60,360,360
13,1,61,359,359
13,1,62,358,358
13,1,63,358,358
13,1,64,357,357
13,1,65,357,357
13,1,66,357,357
13,1,67,358,358
13,1,68,358,358
13,1,69,361,361
13,1,70,361,361
13,1,71,361,361
13,1,72,362,362
13,1,73,362,362
13,1,74,362,362
13,1,75,362,362
13,1,76,363,363
13,1,77,364,364
13,1,78,364,364
13,1,79,364,364
13,1,80,363,363
13,1,81,363,363
13,1,82,363,363
13,1,83,362,362
13,1,84,362,362
13,1,85,363,363
13,1,86,363,363
13,1,87,360,360
13,1,88,360,360
13,1,89,360,360
13,1,90,360,360
13,1,91,359,359
13,1,92,359,359
13,1,93,359,359
13,1,94,359,359
13,1,95,357,357
13,1,96,357,357
13,1,97,358,358
13,1,98,358,358
13,1,99,358,358
13,1,100,358,358
13,1,101,358,358
13,1,102,360,360
13,1,103,360,360
13,1,104,361,361
13,1,105,361,361
13,1,106,361,361
13,1,107,361,361
13,1,108,364,364
13,1,109,364,364
13,1,110,363,363
13,1,111,363,363
13,1,112,364,364
13,1,113,364,364
13,1,114,364,364
13,1,115,364,364
13,1,116,364,364
13,1,117,363,363
13,1,118,363,363
13,1,119,362,362
13,1,120,362,362
13,1,121,361,361
13,1,122,361,361
13,1,123,360,360
13,1,124,360,360
13,1,125,359,359
13,1,126,359,359
13,1,127,359,359
13,1,128,359,359
13,1,129,357,357
13,1,130,357,357
13,1,131,357,357
13,1,132,357,357
13,1,133,358,358
13,1,134,359,359
13,1,135,359,359
13,1,136,359,359
13,1,137,359,359
13,1,138,360,360
13,1,139,360,360
13,1,140,361,361
13,1,141,361,361
13,1,142,362,362
13,1,143,362,362
13,1,144,364,364
13,1,145,364,364
13,1,146,365,365
13,1,147,365,365
13,1,148,365,365
13,1,149,365,365
13,1,150,366,366
13,1,151,366,366
13,1,152,365,365
13,1,153,362,362
13,1,154,362,362
13,1,155,361,361
13,1,156,361,361
13,1,157,360,360
13,1,158,360,360
13,1,159,359,359
13,1,160,359,359
13,1,161,358,358
13,1,162,358,358
13,1,163,357,357
13,1,164,357,357
13,1,165,357,357
13,1,166,357,357
13,1,167,357,357
13,1,168,359,359
13,1,169,359,359
13,1,170,361,361
13,1,171,361,361
13,1,172,360,360
13,1,173,360,360
13,1,174,361,361
13,1,175,361,361
13,1,176,363,363
13,1,177,363,363
13,1,178,364,364
13,1,179,364,364
13,1,180,365,365
13,1,181,365,365
13,1,182,364,364
13,1,183,364,364
13,1,184,365,365
13,1,185,365,365
13,1,186,364,364
13,1,187,361,361
13,1,188,361,361
13,1,189,362,362
13,1,190,362,362
13,1,191,358,358
13,1,192,358,358
13,1,193,359,359
13,1,194,359,359
13,1,195,357,357
13,1,196,357,357
13,1,197,357,357
13,1,198,357,357
13,1,199,357,357
13,1,200,357,357
13,1,201,357,357
13,1,202,357,357
13,1,203,359,359
13,1,204,359,359
13,1,205,359,359
13,1,206,361,361
13,1,207,361,361
13,1,208,363,363
13,1,209,363,363
13,1,210,363,363
13,1,211,363,363
13,1,212,364,364
13,1,213,364,364
13,1,214,365,365
13,1,215,365,365
13,1,216,366,366
13,1,217,366,366
13,1,218,366,366
13,1,219,366,366
13,1,220,364,364
13,1,221,364,364
13,1,222,362,362
13,1,223,362,362
13,1,224,359,359
13,1,225,359,359
13,1,226,359,359
13,1,227,357,357
13,1,228,357,357
13,1,229,358,358
13,1,230,358,358
13,1,231,358,358
13,1,232,358,358
13,1,233,358,358
13,1,234,358,358
13,1,235,359,359
13,1,236,359,359
13,1,237,359,359
13,1,238,359,359
13,1,239,359,359
13,1,240,359,359
13,1,241,361,361
13,1,242,361,361
13,1,243,362,362
13,1,244,362,362
13,1,245,363,363
13,1,246,364,364
13,1,247,364,364
13,1,248,363,363
13,1,249,363,363
13,1,250,362,362
13,1,251,362,362
13,1,252,362,362
13,1,253,362,362
13,1,254,362,362
13,1,255,362,362
13,1,256,362,362
13,1,257,362,362
13,1,258,360,360
13,1,259,360,360
13,1,260,358,358
13,1,261,358,358
13,1,262,359,359
13,1,263,358,358
13,1,264,358,358
13,1,265,358,358
13,1,266,358,358
13,1,267,359,359
13,1,268,359,359
13,1,269,359,359
13,1,270,359,359
13,1,271,359,359
13,1,272,361,361
13,1,273,361,361
13,1,274,362,362
13,1,275,362,362
13,1,276,362,362
13,1,277,363,363
13,1,278,363,363
13,1,279,363,363
13,1,280,363,363
13,1,281,363,363
13,1,282,363,363
13,1,283,363,363
13,1,284,362,362
13,1,285,362,362
13,1,286,361,361
13,1,287,361,361
13,1,288,361,361
13,1,289,361,361
13,1,290,359,359
13,1,291,359,359
13,1,292,361,361
13,1,293,361,361
13,1,294,359,359
13,1,295,357,357
13,1,296,357,357
13,1,297,358,358
13,1,298,358,358
13,1,299,358,358
13,1,300,358,358
13,1,301,357,357
13,1,302,357,357
13,1,303,359,359
13,1,304,359,359
13,1,305,358,358
13,1,306,358,358
13,1,307,361,361
13,1,308,361,361
13,1,309,362,362
13,1,310,363,363
13,1,311,363,363
13,1,312,363,363
13,1,313,363,363
13,1,314,363,363
13,1,315,363,363
13,1,316,364,364
13,1,317,364,364
13,1,318,364,364
13,1,319,364,364
13,1,320,363,363
13,1,321,363,363
13,1,322,361,361
13,1,323,361,361
13,1,324,363,363
13,1,325,363,363
13,1,326,360,360
13,1,327,360,360
13,1,328,359,359
13,1,329,359,359
13,1,330,358,358
13,1,331,357,357
13,1,332,357,357
13,1,333,357,357
13,1,334,357,357
13,1,335,359,359
13,1,336,359,359
13,1,337,359,359
13,1,338,359,359
13,1,339,358,358
13,1,340,358,358
13,1,341,362,362
13,1,342,362,362
13,1,343,361,361
13,1,344,361,361
13,1,345,365,365
13,1,346,365,365
13,1,347,365,365
13,1,348,365,365
13,1,349,365,365
13,1,350,365,365
13,1,351,364,364
13,1,352,364,364
13,1,353,364,364
13,1,354,362,362
13,1,355,362,362
13,1,356,362,362
13,1,357,362,362
13,1,358,361,361
13,1,359,361,361
13,1,360,360,360
13,1,361,360,360
13,1,362,358,358
13,1,363,358,358
13,1,364,357,357
13,1,365,357,357
13,1,366,357,357
13,1,367,357,357
13,1,368,357,357
13,1,369,358,358
13,1,370,358,358
13,1,371,359,359
13,1,372,359,359
13,1,373,360,360
13,1,374,360,360
13,1,375,362,362
13,1,376,362,362
13,1,377,363,363
13,1,378,363,363
13,1,379,364,364
13,1,380,364,364
13,1,381,365,365
13,1,382,365,365
13,1,383,365,365
13,1,384,365,365
13,1,385,365,365
13,1,386,364,364
13,1,387,364,364
13,1,388,364,364
13,1,389,364,364
13,1,390,363,363
13,1,391,363,363
13,1,392,361,361
13,1,393,361,361
13,1,394,361,361
13,1,395,361,361
13,1,396,360,360
13,1,397,360,360
13,1,398,358,358
13,1,399,358,358
13,1,400,357,357
13,1,401,357,357
13,1,402,357,357
13,1,403,357,357
13,1,404,357,357
13,1,405,357,357
13,1,406,357,357
13,1,407,359,359
13,1,408,359,359
13,1,409,361,361
13,1,410,361,361
13,1,411,362,362
13,1,412,362,362
13,1,413,362,362
13,1,414,362,362
13,1,415,363,363
13,1,416,363,363
13,1,417,364,364
13,1,418,364,364
13,1,419,363,363
13,1,420,364,364
13,1,421,364,364
13,1,422,364,364
13,1,423,364,364
13,1,424,363,363
13,1,425,363,363
13,1,426,361,361
13,1,427,361,361
13,1,428,361,361
13,1,429,361,361
13,1,430,358,358
13,1,431,358,358
13,1,432,358,358
13,1,433,358,358
13,1,434,357,357
13,1,435,357,357
13,1,436,357,357
13,1,437,357,357
13,1,438,357,357
13,1,439,358,358
13,1,440,358,358
13,1,441,359,359
13,1,442,359,359
13,1,443,359,359
13,1,444,359,359
13,1,445,362,362
13,1,446,362,362
13,1,447,363,363
13,1,448,363,363
13,1,449,364,364
13,1,450,364,364
13,1,451,364,364
13,1,452,364,364
13,1,453,365,365
13,1,454,365,365
13,1,455,365,365
13,1,456,365,365
13,1,457,365,365
