experiment,repetition,sampleIndex,raw,filtered
1,1,0,358,358
1,1,1,359,359
1,1,2,359,359
1,1,3,359,359
1,1,4,360,359
1,1,5,359,359
1,1,6,359,359
1,1,7,360,359
1,1,8,359,360
1,1,9,360,360
1,1,10,360,360
1,1,11,360,360
1,1,12,360,360
1,1,13,359,360
1,1,14,360,359
1,1,15,360,359
1,1,16,358,359
1,1,17,360,359
1,1,18,360,360
1,1,19,359,360
1,1,20,360,360
1,1,21,360,359
1,1,22,359,359
1,1,23,359,359
1,1,24,359,359
1,1,25,360,359
1,1,26,360,359
1,1,27,359,359
1,1,28,359,360
1,1,29,360,360
1,1,30,360,360
1,1,31,361,360
1,1,32,360,361
1,1,33,361,360
1,1,34,360,360
1,1,35,360,360
1,1,36,360,360
1,1,37,360,360
1,1,38,361,360
1,1,39,361,361
1,1,40,360,362
1,1,41,361,361
1,1,42,361,359
1,1,43,361,356
1,1,44,349,353
1,1,45,348,352
1,1,46,350,352
1,1,47,358,354
1,1,48,359,358
1,1,49,360,360
1,1,50,360,361
1,1,51,360,360
1,1,52,361,360
1,1,53,360,360
1,1,54,360,361
1,1,55,361,361
1,1,56,362,361
1,1,57,362,362
1,1,58,362,362
1,1,59,361,362
1,1,60,362,362
1,1,61,362,362
1,1,62,362,362
1,1,63,362,362
1,1,64,362,362
1,1,65,362,362
1,1,66,362,362
1,1,67,362,362
1,1,68,362,362
1,1,69,362,362
1,1,70,362,362
1,1,71,362,362
1,1,72,362,362
1,1,73,364,362
1,1,74,362,363
1,1,75,362,363
1,1,76,363,363
1,1,77,363,362
1,1,78,362,363
1,1,79,363,363
1,1,80,363,363
1,1,81,363,363
1,1,82,362,363
1,1,83,362,362
1,1,84,363,362
1,1,85,362,362
1,1,86,362,362
1,1,87,362,362
1,1,88,362,362
1,1,89,361,362
1,1,90,362,362
1,1,91,361,361
1,1,92,362,361
1,1,93,361,361
1,1,94,361,361
1,1,95,361,361
1,1,96,360,360
1,1,97,360,360
1,1,98,360,360
1,1,99,360,359
1,1,100,358,359
1,1,101,359,358
1,1,102,357,358
1,1,103,358,357
1,1,104,357,357
1,1,105,356,357
1,1,106,358,357
1,1,107,356,356
1,1,108,356,356
1,1,109,355,356
1,1,110,354,354
1,1,111,355,353
1,1,112,352,352
1,1,113,350,351
1,1,114,350,350
1,1,115,350,350
1,1,116,351,350
1,1,117,351,351
1,1,118,351,351
1,1,119,351,351
1,1,120,352,352
1,1,121,352,353
1,1,122,354,353
1,1,123,355,354
1,1,124,354,354
1,1,125,354,355
1,1,126,355,355
1,1,127,356,355
1,1,128,355,356
1,1,129,357,356
1,1,130,356,357
1,1,131,357,357
1,1,132,358,358
1,1,133,358,358
1,1,134,359,359
1,1,135,359,360
1,1,136,360,360
1,1,137,362,361
1,1,138,362,362
1,1,139,362,362
1,1,140,362,363
1,1,141,363,363
1,1,142,363,363
1,1,143,365,364
1,1,144,364,365
1,1,145,365,366
1,1,146,366,365
1,1,147,364,361
1,1,148,361,357
1,1,149,350,356
1,1,150,349,356
1,1,151,361,359
1,1,152,368,363
1,1,153,368,367
1,1,154,368,369
1,1,155,367,368
1,1,156,367,367
1,1,157,366,366
1,1,158,367,366
1,1,159,364,365
1,1,160,365,364
1,1,161,364,364
1,1,162,362,363
1,1,163,362,362
1,1,164,362,361
1,1,165,360,361
1,1,166,361,360
1,1,167,359,359
1,1,168,358,358
1,1,169,357,357
1,1,170,357,357
1,1,171,356,356
1,1,172,355,355
1,1,173,355,354
1,1,174,353,354
1,1,175,352,353
1,1,176,353,352
1,1,177,352,352
1,1,178,351,351
1,1,179,350,350
1,1,180,350,350
