channel,index,raw,filtered
1,0,360,361.063768
1,1,360,361.444178
1,2,360,361.690222
1,3,361,361.934866
1,4,361,362.025154
1,5,364,362.143228
1,6,364,362.283991
1,7,361,362.255106
1,8,363,362.199334
1,9,363,361.973513
1,10,361,361.839480
1,11,361,361.222022
1,12,360,360.360187
1,13,360,359.586973
1,14,359,359.018924
1,15,359,358.650308
1,16,358,358.441513
1,17,358,358.584108
1,18,359,358.802632
1,19,359,359.225087
1,20,360,360.055739
1,21,360,360.921339
1,22,363,361.806863
1,23,363,362.832784
1,24,364,363.820623
1,25,364,364.829885
1,26,366,365.637015
1,27,367,366.270032
1,28,367,366.760553
1,29,367,367.198834
1,30,367,367.566583
1,31,368,367.750458
1,32,368,367.904714
1,33,368,368.064701
1,34,368,368.323638
1,35,368,368.395269
1,36,368,368.315775
1,37,369,368.315142
1,38,369,368.464001
1,39,368,368.443312
1,40,368,368.154389
1,41,368,367.848143
1,42,368,367.378111
1,43,367,367.040713
1,44,366,366.530968
1,45,366,366.130102
1,46,366,365.693520
1,47,366,365.257138
1,48,363,364.768716
1,49,363,364.210495
1,50,364,363.460970
1,51,364,362.590105
1,52,362,361.621223
1,53,362,360.565351
1,54,359,359.463668
1,55,359,358.422455
1,56,356,357.376179
1,57,356,356.472797
1,58,355,355.726703
1,59,355,355.320440
1,60,355,354.837448
1,61,355,354.736598
1,62,355,354.865367
1,63,356,355.341229
1,64,356,355.655272
1,65,356,356.059737
1,66,356,356.480793
1,67,358,357.093520
1,68,358,357.720073
1,69,358,358.636782
1,70,358,359.628952
1,71,362,360.849409
1,72,362,362.008929
1,73,363,363.414859
1,74,363,364.806597
1,75,368,366.242879
1,76,368,367.453806
1,77,368,368.366783
1,78,369,368.803598
1,79,369,369.066400
1,80,369,368.769582
1,81,369,368.294853
1,82,368,367.605131
1,83,368,366.899017
1,84,364,365.826387
1,85,364,364.618357
1,86,362,363.412427
1,87,362,362.542695
1,88,362,361.292420
1,89,362,360.019524
1,90,359,358.858304
1,91,359,357.835282
1,92,356,356.943395
1,93,356,356.426920
1,94,355,355.786207
1,95,355,355.124571
1,96,355,354.591804
1,97,354,354.897218
1,98,354,355.040080
1,99,357,355.170015
1,100,357,355.967316
1,101,357,356.799567
1,102,357,357.555922
1,103,358,358.570515
1,104,358,359.624721
1,105,363,360.834449
1,106,363,362.007963
